,Filter,trip_mode,0-35K,35K-60k,60K-100K,100K+
0,Discretionary,Bike,2.69279128248114,1.3704785441473826,1.0020876826722338,0.7869249394673125
1,Discretionary,HOV2,25.240989103101423,25.02808357672433,24.91301322199026,23.925544794188863
2,Discretionary,HOV3,22.95683151718357,19.16423275668389,19.526791927627002,20.066585956416468
3,Discretionary,SOV,27.305113160100586,40.215681869242864,44.24495476687543,45.1271186440678
4,Discretionary,Taxi,0.2619446772841576,0.2583689058638508,0.20876826722338201,0.4993946731234867
5,Discretionary,Transit,2.944258172673931,2.403954167602786,1.7258176757132915,1.7857142857142856
6,Discretionary,Walk,18.59807208717519,11.55920017973489,8.3785664578984,7.808716707021792
7,Eating Out,Bike,1.221961834616672,0.5163745074058975,0.27586206896551724,0.27690603655159685
8,Eating Out,HOV2,22.04553063274188,20.05707297187118,20.275862068965516,18.34964002215248
9,Eating Out,HOV3,25.359892869099433,24.785976355483083,25.359605911330046,25.456894960310134
10,Eating Out,SOV,33.32775359892869,43.17162657969833,46.3448275862069,47.83090271367916
11,Eating Out,Taxi,0.2008704385671242,0.19024323957059383,0.25615763546798026,0.1846040243677312
12,Eating Out,Transit,4.636759290257784,3.5466775377089275,2.206896551724138,2.60291674358501
13,Eating Out,Walk,13.207231335788416,7.732028808261992,5.280788177339901,5.298135499353886
14,Escort,Bike,5.5547146965339795,1.081510934393638,0.590486604702023,0.30664768371481765
15,Escort,HOV2,20.130164976540033,17.996023856858848,19.51886276653909,18.20173036907239
16,Escort,HOV3,32.06447706977448,30.25049701789265,33.056314926189174,32.71273683057716
17,Escort,SOV,28.083850461631606,41.12922465208747,40.29524330235101,42.82115869017632
18,Escort,Taxi,0.06054184955350386,0.19085487077534793,0.2624384909786769,0.20808235680648343
19,Escort,Transit,4.056303920084758,3.7455268389662026,2.7774740295243303,2.507939984667616
20,Escort,Walk,10.049947025881641,5.606361829025845,3.499179879715691,3.2417040849852157
21,Maintenance,Bike,0.6012872628726287,0.3289473684210526,0.14761703922395614,0.06464124111182934
22,Maintenance,HOV2,24.12771002710027,19.517543859649123,20.044285111767188,18.735186382245207
23,Maintenance,HOV3,15.370934959349594,14.00978407557355,15.15183466891607,14.29648782589959
24,Maintenance,SOV,43.766937669376695,57.37179487179487,59.19443272880641,61.04287868993752
25,Maintenance,Taxi,0.22865853658536583,0.25303643724696356,0.12652889076339097,0.2908855850032321
26,Maintenance,Transit,4.13279132791328,2.5725371120107963,1.5288907633909743,1.8638224520577462
27,Maintenance,Walk,11.771680216802167,5.946356275303644,3.806410797132012,3.7060978237448827
28,School,Bike,2.0534676481983727,1.524208009563658,1.2551395801774508,0.8166122258516099
29,School,HOV2,14.7036032545525,17.468619246861923,19.671066868643152,24.35837610825945
30,School,HOV3,22.02634637737311,24.611476389719066,28.86821034408137,32.22118525431638
31,School,SOV,1.743510267338241,4.438135086670651,2.8781648993724303,2.96313579094727
32,School,School Bus,31.15071677644324,28.212791392707707,26.141527807833803,20.57862809146057
33,School,Taxi,0.22278186749321968,0.08965929468021519,0.06492101276779917,0.0699953336444237
34,School,Transit,6.6253390158853165,3.4518828451882846,2.055832070980307,1.8198786747550162
35,School,Walk,21.474234792716,20.203227734608486,19.065137416143692,17.172188520765282
36,Shopping,Bike,0.46699658465184357,0.24867691130523498,0.14656786906603697,0.12631578947368421
37,Shopping,HOV2,22.367045375339792,20.448893706561243,21.83046983144695,18.374736842105264
38,Shopping,HOV3,21.990660068306962,19.843142255945928,21.113915804901882,20.70736842105263
39,Shopping,SOV,41.04690876141353,50.347510042721424,50.997475775588306,54.736842105263165
40,Shopping,Taxi,0.06970098278385725,0.1657846075368233,0.1709958472437098,0.1936842105263158
41,Shopping,Transit,3.4641388443577052,2.856596314480648,1.6773878348668676,2.4
42,Shopping,Walk,10.594549383146303,6.089396161448703,4.063187036886247,3.4610526315789474
43,University,Bike,4.519368723098996,2.6205450733752618,5.005959475566151,2.524544179523142
44,University,HOV2,19.87087517934003,16.142557651991616,13.3492252681764,13.043478260869565
45,University,HOV3,7.604017216642754,4.926624737945493,2.3837902264600714,2.805049088359046
46,University,SOV,34.146341463414636,49.37106918238994,56.4958283671037,59.46704067321178
47,University,Taxi,3.012912482065997,9.958071278825996,7.866507747318235,9.256661991584853
48,University,Transit,8.680057388809184,4.29769392033543,2.026221692491061,3.3660589060308554
49,University,Walk,22.166427546628405,12.683438155136267,12.872467222884387,9.537166900420758
50,Visiting,Bike,2.9289231157682107,1.3976921826751179,0.8050089445438283,0.804093567251462
51,Visiting,HOV2,25.16096452468123,24.4921176661791,26.43112701252236,25.633528265107213
52,Visiting,HOV3,19.113748264108064,16.187225743539738,20.214669051878353,20.37037037037037
53,Visiting,SOV,32.546395657114005,45.13245571266049,43.53756708407871,45.02923976608187
54,Visiting,Taxi,0.06312334301224592,0.21127905086949453,0.15652951699463327,0.12183235867446393
55,Visiting,Transit,2.6006817321045324,1.722736876320494,1.3640429338103757,1.6812865497076022
56,Visiting,Walk,17.586163363211714,10.856492767755567,7.491055456171736,6.359649122807018
57,Work,Bike,2.0628758468447894,1.1510863065577037,0.8659697300670932,1.0188773596699587
58,Work,HOV2,11.76067595341402,12.034084114012359,12.833515369012327,11.201400175021877
59,Work,HOV3,0.9971835274415771,0.8670520231213872,0.8893743173662036,0.5813226653331667
60,Work,SOV,54.26657532161072,61.78991429140921,66.18037135278514,65.10813851731466
61,Work,Taxi,0.038060439978686154,0.25413593781144106,0.5070993914807302,0.450056257032129
62,Work,Transit,15.886427647103602,13.598764201714172,10.992354501482291,13.376672084010503
63,Work,Walk,14.988201263606607,10.30496312537373,7.73131533780621,8.2635329416177
64,Work-Based,Bike,0.40137614678899086,0.35727045373347627,0.16216216216216214,0.1524390243902439
65,Work-Based,HOV2,12.09862385321101,13.469096105752055,12.972972972972974,11.991869918699187
66,Work-Based,HOV3,1.261467889908257,1.2147195426938193,0.8108108108108109,0.7113821138211381
67,Work-Based,SOV,57.11009174311926,63.59414076455877,69.35135135135135,67.22560975609755
68,Work-Based,Taxi,0.286697247706422,0.857449088960343,0.8108108108108109,0.5081300813008129
69,Work-Based,Transit,15.022935779816512,10.861021793497677,7.45945945945946,10.060975609756099
70,Work-Based,Walk,13.81880733944954,9.646302250803858,8.432432432432432,9.34959349593496
